ME,ano,mês,casos,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,nível,população,casos_acumulados_ano,p_rt1,p_inc100k,Rt,receptivo,transmissao,nivel_inc
2019-01,2019,01,0,25.142857142857125,27.2434524285714,29.250000000000004,70.37624767857146,83.17969096428573,94.40757528571427,1,15036,513,0.5,0.0,0.0,0,0,0
2019-02,2019,02,0,25.357142857142875,26.663755892857125,27.892857142857125,80.54612860714282,87.51141010714284,93.74375253571431,1,15036,513,0.5,0.0,0.0,0,0,0
2019-03,2019,03,0,24.22857142857142,25.3974026857143,26.657142857142862,82.37467431428573,90.19515517142858,95.05179585714286,1,15036,513,0.5,0.0,0.0,0,0,0
2019-04,2019,04,0,24.96428571428575,26.119057535714273,27.678571428571452,78.95142271428573,87.1115174285714,93.4701392857143,1,15036,513,0.5,0.0,0.0,0,0,0
2019-05,2019,05,0,25.35714285714285,26.454545285714296,27.571428571428577,78.92445821428569,84.16545442857144,89.36612992857143,1,15036,513,0.5,0.0,0.0,0,0,0
2019-06,2019,06,0,24.5142857142857,25.912121142857142,27.2,75.09176411428572,81.05042499999998,86.44498617142861,1,15036,513,0.5,0.0,0.0,0,0,0
2019-07,2019,07,0,24.285714285714274,25.681818214285727,26.75,73.25002642857143,78.61784364285712,84.9778772857143,1,15036,513,0.5,0.0,0.0,0,0,0
2019-08,2019,08,0,24.107142857142854,25.665584357142876,26.607142857142854,68.6463235714286,73.76960760714286,78.76829182142858,1,15036,513,0.5,0.0,0.0,0,0,0
2019-09,2019,09,0,25.085714285714282,26.082857142857165,26.85714285714288,69.90012031428573,74.55708362857142,79.55011628571428,1,15036,513,0.5,0.0,0.0,0,0,0
2019-10,2019,10,0,25.535714285714278,26.340909071428577,27.214285714285698,68.77316442857142,74.2320245,78.81516049999998,1,15036,513,0.5,0.0,0.0,0,0,0
2019-11,2019,11,0,26.14285714285715,26.824999999999974,27.214285714285726,73.20592557142857,76.09239121428573,79.48089957142855,1,15036,513,0.5,0.0,0.0,0,0,0
