ME,ano,mês,casos,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,nível,população,casos_acumulados_ano,p_rt1,p_inc100k,Rt,receptivo,transmissao,nivel_inc
2018-06,2018,06,0,24.178571428571423,25.626623285714302,26.5357142857143,77.4143119642857,83.25342371428573,89.43066825000001,1,29146,427,0.0,0.0,0.0,0,0,0
2018-07,2018,07,1,24.171428571428557,26.225385828571422,28.457142857142838,65.85309282857142,78.45119962857142,88.56409034285716,1,29146,427,0.19265358,0.68620052,3.7043236,0,0,0
2018-08,2018,08,0,24.571428571428573,26.146780357142877,27.642857142857146,67.50211275,77.001762,83.67289735714286,1,29146,427,0.0,0.0,0.0,0,0,0
2018-09,2018,09,0,25.085714285714282,26.067424285714274,27.00000000000002,70.8720008,77.37037865714284,82.08025188571428,1,29146,427,0.0,0.0,0.0,0,0,0
2018-10,2018,10,0,25.928571428571427,27.1925055,29.285714285714274,64.31151467857143,75.17568060714285,82.98205207142855,1,29146,427,0.0,0.0,0.0,0,0,0
2018-11,2018,11,0,26.357142857142847,27.017857142857125,27.5,74.52187382142858,78.0749912857143,81.98552239285712,1,29146,427,0.0,0.0,0.0,0,0,0
2018-12,2018,12,0,25.657142857142837,27.209047599999998,28.94285714285714,69.96779868571427,80.11243302857142,90.66607091428565,1,29146,427,0.0,0.0,0.0,0,0,0
2019-01,2019,01,0,25.142857142857125,27.2434524285714,29.250000000000004,70.37624767857146,83.17969096428573,94.40757528571427,1,29146,427,0.0,0.0,0.0,0,0,0
2019-02,2019,02,0,25.357142857142875,26.663755892857125,27.892857142857125,80.54612860714282,87.51141010714284,93.74375253571431,1,29146,427,0.0,0.0,0.0,0,0,0
2019-03,2019,03,1,24.22857142857142,25.3974026857143,26.657142857142862,82.37467431428573,90.19515517142858,95.05179585714286,1,29146,427,0.19265358,0.68620052,3.7043236,0,0,0
2019-04,2019,04,1,24.96428571428575,26.119057535714273,27.678571428571452,78.95142271428573,87.1115174285714,93.4701392857143,1,29146,427,0.240816725,0.85775065,4.63027675,0,0,0
2019-05,2019,05,3,25.35714285714285,26.454545285714296,27.571428571428577,78.92445821428569,84.16545442857144,89.36612992857143,1,29146,427,0.2355436075,2.573252,1.3371005,0,0,0
2019-06,2019,06,1,24.5142857142857,25.912121142857142,27.2,75.09176411428572,81.05042499999998,86.44498617142861,1,29146,427,0.19265358,0.68620052,3.704322,0,0,0
2019-07,2019,07,1,24.285714285714274,25.681818214285727,26.75,73.25002642857143,78.61784364285712,84.9778772857143,1,29146,427,0.2036323,0.85775065,0.844703925,0,0,0
2019-08,2019,08,1,24.107142857142854,25.665584357142876,26.607142857142854,68.6463235714286,73.76960760714286,78.76829182142858,1,29146,427,0.1820788075,0.85775065,0.546609275,0,0,0
2019-09,2019,09,0,25.085714285714282,26.082857142857165,26.85714285714288,69.90012031428573,74.55708362857142,79.55011628571428,1,29146,427,0.0,0.0,0.0,0,0,0
2019-10,2019,10,0,25.535714285714278,26.340909071428577,27.214285714285698,68.77316442857142,74.2320245,78.81516049999998,1,29146,427,0.0,0.0,0.0,0,0,0
2019-11,2019,11,0,26.14285714285715,26.824999999999974,27.214285714285726,73.20592557142857,76.09239121428573,79.48089957142855,1,29146,427,0.0,0.0,0.0,0,0,0
2019-12,2019,12,0,26.41904761904762,27.256031723809503,27.9761904761905,70.84585873809525,75.49143304761905,80.28280952380952,1,29146,427,0.0,0.0,0.0,0,0,0
2020-01,2020,01,0,25.96428571428575,28.111012071428547,30.64285714285715,62.2626687857143,75.68066392857142,86.14669278571428,1,29146,427,0.0,0.0,0.0,0,0,0
2020-02,2020,02,1,25.357142857142875,26.697754285714296,28.0357142857143,76.01739610714283,83.31614675,89.4021227142857,1,29146,427,0.240816975,0.85775065,4.6304045,0,0,0
2020-03,2020,03,4,25.25714285714284,27.634523771428558,30.25714285714286,66.94333654285717,79.93909785714284,90.64942174285716,2,29146,427,0.280743974,2.74480212,1.6550133280000001,0,0,0
2020-04,2020,04,2,24.78571428571427,27.488095214285725,30.857142857142875,63.54442482142857,80.60418364285715,92.07783574999998,1,29146,427,0.24449554,1.71550125,4.6303395,0,0,0
2020-05,2020,05,4,24.8857142857143,27.570714342857137,30.91428571428572,60.28366234285714,77.68770954285714,90.3150255142857,2,29146,427,0.34813533,2.7448020399999997,1.01689807,1,0,0
2020-06,2020,06,2,24.392857142857125,26.774591785714303,29.64285714285715,59.88605664285712,76.07868117857143,88.40023592857142,1,29146,427,0.34644925,1.7155013,0.9451589,0,0,0
2020-07,2020,07,0,23.785714285714302,26.732960678571423,30.0,53.441104357142876,71.04398767857143,84.70835735714289,1,29146,427,0.0,0.0,0.0,0,0,0
2020-08,2020,08,2,24.171428571428578,27.091706942857137,30.6,49.95812942857144,69.26416405714285,83.26508565714283,1,29146,427,0.33876478,1.37240104,4.1458898,0,0,0
2020-09,2020,09,1,24.928571428571423,27.381191321428577,30.785714285714274,52.10775942857145,70.3043835,83.25586728571427,1,29146,427,0.172189325,0.85775065,0.4647424,0,0,0
2020-10,2020,10,1,25.75,27.84161485714285,30.99999999999997,56.65385010714287,72.82594492857143,84.20837675000003,1,29146,427,0.231259525,0.85775065,2.22389725,0,0,0
2020-11,2020,11,1,26.2559523809524,28.189501630952375,31.142857142857125,59.266184851190474,74.0955140059524,84.92038982,1,29146,427,0.18557702,0.68620052,1.8521616,0,0,0
2020-12,2020,12,0,27.0,28.565217,31.5,53.9766265,72.161975,83.72533035000001,1,29146,427,0.0,0.0,0.0,0,0,0
2021-01,2021,01,3,26.05714285714286,27.874206942857143,30.428571428571438,63.11791757142858,76.03562742857146,85.65208154285715,1,29146,427,0.4791095,2.05860156,4.6678963,0,0,0
2021-02,2021,02,4,25.821428571428577,27.801318821428552,29.928571428571402,68.01933625000001,78.97861828571428,88.5015722142857,1,29146,427,0.437897335,3.4310025,1.9930265999999999,0,0,0
2021-03,2021,03,9,24.642857142857174,27.002987285714298,29.4642857142857,69.7509597857143,82.16663217857142,92.36033239285715,2,29146,427,0.49805777500000004,7.7197559,1.817411325,1,0,0
2021-04,2021,04,11,25.10714285714285,27.732342285714275,30.821428571428577,64.31454907142857,79.6128995,92.14124553571428,2,29146,427,0.31477126775,9.435256899999999,0.96188235,1,0,0
2021-05,2021,05,0,24.5142857142857,27.162706971428584,30.17142857142856,62.57587205714286,79.30900311428573,92.11719877142856,1,29146,427,0.0,0.0,0.0,0,0,0
2021-06,2021,06,0,25.142857142857153,27.440803928571423,30.392857142857125,58.86370928571428,76.36576789285714,89.42849089285714,1,29146,427,0.0,0.0,0.0,0,0,0
