SE,casos,p_rt1,p_inc100k,nivel,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,notif_accum_year
201635,0,0.0,0.0,1,0.0,15036,24.8571428571429,79.7142857142857,0,0,0,70.7517014285714,57.7142857142857,26.496032,28.2857142857143,513
201634,0,0.0,0.0,1,0.0,15036,24.2857142857143,83.4285714285714,0,0,0,75.2567612857143,65.0,25.8271482857143,26.8571428571429,513
201633,0,0.0,0.0,1,0.0,15036,24.4285714285714,85.5714285714286,0,0,0,78.1793242857143,70.2857142857143,25.5665704285714,26.5714285714286,513
201632,0,0.0,0.0,1,0.0,15036,24.4285714285714,82.8571428571429,0,0,0,74.9846944285714,66.7142857142857,25.6156468571429,26.4285714285714,513
201631,0,0.0,0.0,1,0.0,15036,23.7142857142857,80.8571428571429,0,0,0,73.2303458571429,61.1428571428571,25.5510205714286,27.4285714285714,513
201630,0,0.0,0.0,1,0.0,15036,23.8571428571429,81.4285714285714,0,0,0,72.712586,62.7142857142857,25.6184811428571,27.0,513
201629,0,0.0,0.0,1,0.0,15036,24.4285714285714,84.7142857142857,0,0,0,78.6947277142857,71.1428571428571,25.7318598571429,26.7142857142857,513
201628,0,0.0,0.0,1,0.0,15036,24.8571428571429,83.4285714285714,0,0,0,76.7287414285714,67.7142857142857,26.0119052857143,27.4285714285714,513
201627,0,0.0,0.0,1,0.0,15036,24.4285714285714,85.7142857142857,0,0,0,78.5454277142857,68.1428571428571,25.8440747142857,27.0,513
201626,0,0.0,0.0,1,0.0,15036,23.8571428571429,79.0,0,0,0,72.1836742857143,62.0,25.5768144285714,27.1428571428571,513
201625,2,0.0030071777,13.30141,1,0.18038346,15036,25.1428571428571,81.1428571428571,0,0,0,75.6774364285714,66.5714285714286,26.3914395714286,27.4285714285714,513
201624,5,0.010739708,33.253525,1,0.33859134,15036,24.8571428571429,86.4285714285714,0,0,1,79.5223898571429,70.8571428571429,26.1746032857143,27.5714285714286,513
201623,12,0.1567149,79.80846,4,0.69085896,15036,25.2857142857143,89.7142857142857,1,0,2,82.4392871428571,74.4285714285714,26.2605444285714,27.8571428571429,513
201622,17,0.32837296,113.06198,4,0.86474216,15036,25.7142857142857,91.1428571428571,1,0,2,84.2312905714286,77.0,26.8287984285714,27.4285714285714,513
201621,14,0.08724536,93.10987,4,0.63577807,15036,25.8571428571429,86.0,0,0,2,80.5229601428571,72.7142857142857,26.703515,27.5714285714286,513
201620,25,0.27985466,166.26762,4,0.85437,15036,25.5714285714286,88.8571428571429,1,0,2,82.00312,74.5714285714286,26.623583,27.8571428571429,513
201619,16,0.009043552,106.41128,4,0.49863657,15036,25.4285714285714,92.7142857142857,1,0,2,87.3713664285714,79.5714285714286,26.4615334285714,27.7142857142857,513
201618,23,0.713828,152.96622,4,1.1877991,15036,25.7142857142857,90.4285714285714,1,0,2,83.2111672857143,74.8571428571429,26.6244334285714,27.5714285714286,513
201617,60,1.0,399.0423,3,8.973984,15036,25.7142857142857,89.0,1,1,2,82.5304672857143,74.8571428571429,26.9375315714286,28.0,513
201616,6,0.96380997,39.90423,3,3.9118545,15036,25.1428571428571,88.0,1,1,1,80.1961677142857,68.8571428571429,26.755905,29.0,513
201615,5,0.99577093,33.253525,1,18.521616,15036,25.4285714285714,90.4285714285714,1,1,1,78.2551585714286,59.4285714285714,27.9434764285714,30.5714285714286,513
201614,0,0.0,0.0,1,0.0,15036,25.1428571428571,95.1428571428571,0,0,0,91.5896815714286,86.0,25.984127,26.8571428571429,513
201613,0,0.0,0.0,1,0.0,15036,24.8571428571429,97.0,0,0,0,91.6691192857143,77.2857142857143,25.7689957142857,27.1428571428571,513
