SE,casos,p_rt1,p_inc100k,nivel,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,notif_accum_year
201833,0,0.0,0.0,1,0.0,29146,24.7142857142857,83.7381025714286,0,0,0,78.288488,71.3302734285714,26.1953462857143,27.5714285714286,427
201832,0,0.0,0.0,1,0.0,29146,24.8571428571429,88.062454,0,0,0,76.1118057142857,57.1699405714286,26.9761908571429,30.2857142857143,427
201831,0,0.0,0.0,1,0.0,29146,24.2857142857143,90.3381388571429,0,0,0,75.8115922857143,59.8326907142857,26.7075571428571,29.7142857142857,427
201830,0,0.0,0.0,1,0.0,29146,24.4285714285714,84.2947931428571,0,0,0,70.7304771428571,50.6250481428571,27.1547614285714,30.7142857142857,427
201829,0,0.0,0.0,1,0.0,29146,23.7142857142857,85.8112808571429,0,0,0,74.2868437142857,58.445134,26.3685065714286,29.0,427
201828,0,0.0,0.0,1,0.0,29146,24.0,93.561818,0,0,0,87.3222007142857,81.609103,25.2207791428571,26.1428571428571,427
201827,1,0.9632679,3.4310026,1,18.521618,29146,24.4285714285714,88.8144208571429,1,0,0,84.1048842857143,78.7534882857143,25.6753248571429,26.7142857142857,427
201826,0,0.0,0.0,1,0.0,29146,23.8571428571429,85.0513147142857,0,0,0,79.8933185714286,73.4158664285714,25.3636362857143,26.2857142857143,427
201825,0,0.0,0.0,1,0.0,29146,24.1428571428571,89.6052831428571,0,0,0,83.462812,76.6316054285714,25.7012985714286,26.7142857142857,427
201824,0,0.0,0.0,1,0.0,29146,24.0,87.8935585714286,0,0,0,81.4628328571429,76.6189142857143,25.7662337142857,26.8571428571429,427
201823,0,0.0,0.0,1,0.0,29146,24.7142857142857,95.1725165714286,0,0,0,88.1947314285714,82.9908617142857,25.6753245714286,26.2857142857143,427
201822,0,0.0,0.0,1,0.0,29146,25.0,91.8801964285714,0,0,0,84.3321628571429,78.8124435714286,26.3246754285714,27.1428571428571,427
201821,0,0.0,0.0,1,0.0,29146,25.0,95.1844922857143,0,0,0,85.9005971428571,75.3295241428571,26.5638525714286,28.1428571428571,427
201820,0,0.0,0.0,1,0.0,29146,24.7142857142857,95.1039007142857,0,0,0,80.423238,62.5542118571429,27.4761905714286,30.8571428571429,427
201819,0,0.0,0.0,1,0.0,29146,24.0,100.0,0,0,0,84.9604342857143,63.5103887142857,26.6369042857143,30.5714285714286,427
201818,0,0.0,0.0,1,0.0,29146,24.5714285714286,96.6925528571429,0,0,0,80.3195942857143,60.3924607142857,27.589286,31.0,427
201817,0,0.0,0.0,1,0.0,29146,24.8571428571429,95.0447528571429,0,0,0,80.0673528571429,61.4039262857143,27.6071434285714,30.8571428571429,427
201816,0,0.0,0.0,1,0.0,29146,24.2857142857143,95.89915,0,0,0,89.7401701428571,81.1453385714286,25.6829002857143,27.1428571428571,427
201815,0,0.0,0.0,1,0.0,29146,23.8571428571429,96.6745242857143,0,0,0,91.2326484285714,79.9817152857143,25.1298702857143,27.4285714285714,427
201814,0,0.0,0.0,1,0.0,29146,25.0,97.5283964285714,0,0,0,90.4110011428571,84.4722928571429,26.285714,27.2857142857143,427
201813,0,0.0,0.0,1,0.0,29146,24.7142857142857,99.1761321428571,0,0,0,92.2077085714286,85.4310167142857,25.7792208571429,27.1428571428571,427
201812,0,0.0,0.0,1,0.0,29146,26.2857142857143,89.7106371428571,0,0,0,81.8380835714286,76.980221,27.4025974285714,28.1428571428571,427
201811,0,0.0,0.0,1,0.0,29146,26.1428571428571,89.672488,0,0,0,83.2444165714286,77.6364787142857,27.3246751428571,28.0,427
201810,0,0.0,0.0,1,0.0,29146,25.5714285714286,93.601893,0,0,0,86.0311965714286,80.2392608571429,26.792208,27.7142857142857,427
201809,0,0.0,0.0,1,0.0,29146,24.7142857142857,95.9217807142857,0,0,0,84.8725531428571,72.7433462857143,26.7705628571429,28.8571428571429,427
201808,0,0.0,0.0,1,0.0,29146,24.1428571428571,99.1701442857143,0,0,0,92.5893557142857,85.509073,25.3344154285714,26.7142857142857,427
201807,0,0.0,0.0,1,0.0,29146,23.5714285714286,98.3342357142857,0,0,0,91.9360514285714,86.8275965714286,24.6714285714286,25.7142857142857,427
201806,0,0.0,0.0,1,0.0,29146,26.0,91.2651938571429,0,0,0,85.3767977142857,79.073289,27.0273808571429,28.0,427
201805,0,0.0,0.0,1,0.0,29146,25.8571428571429,88.8876154285714,0,0,0,81.1363922857143,74.4170294285714,26.9166665714286,28.2857142857143,427
201804,0,0.0,0.0,1,0.0,29146,25.8571428571429,87.3973801428571,0,0,0,82.006675,77.5011857142857,26.7571428571429,27.2857142857143,427
201803,1,0.9632679,3.4310026,1,18.521618,29146,25.2857142857143,85.3597227142857,0,0,0,77.4652044285714,72.5011234285714,26.9892857142857,28.1428571428571,427
201802,0,0.0,0.0,1,0.0,29146,24.7142857142857,83.6559997142857,0,0,0,78.941362,75.4115208571429,26.1428571428571,27.0,427
201801,0,0.0,0.0,1,0.0,29146,26.5714285714286,80.847216,0,0,0,78.6217005714286,75.487536,26.9714285714286,27.4285714285714,427
201752,0,0.0,0.0,1,0.0,29146,26.1428571428571,83.6556594285714,0,0,0,79.7594065714286,78.1409508571429,26.9142857142857,27.2857142857143,427
201751,0,0.0,0.0,1,0.0,29146,26.5714285714286,80.9569448571429,0,0,0,75.5832022857143,72.0107861428571,27.125,27.8571428571429,427
201750,0,0.0,0.0,1,0.0,29146,26.4285714285714,79.4441531428571,0,0,0,76.6859208571429,74.1717537142857,26.8857142857143,27.2857142857143,427
201749,0,0.0,0.0,1,0.0,29146,26.2857142857143,79.4642345714286,0,0,0,76.6269742857143,70.6252772857143,27.1680272857143,28.1428571428571,427
201748,0,0.0,0.0,1,0.0,29146,26.0,79.4912365714286,0,0,0,69.9981021428571,56.7432711428571,28.035714,31.0,427
201747,0,0.0,0.0,1,0.0,29146,25.7142857142857,82.2723525714286,0,0,0,70.18519,56.174585,27.7916665714286,30.7142857142857,427
201746,0,0.0,0.0,1,0.0,29146,25.5,81.158405,0,0,0,69.6615,56.8294385,27.541666,30.5,427
201745,0,0.0,0.0,1,0.0,29146,,81.0225645,0,0,0,,,,,427
201744,0,0.0,0.0,1,0.0,29146,,80.886724,0,0,0,,,,,427
201743,0,0.0,0.0,1,0.0,29146,,80.7508835,0,0,0,,,,,427
201742,0,0.0,0.0,1,0.0,29146,,80.615043,0,0,0,,,,,427
201741,0,0.0,0.0,1,0.0,29146,,80.4792025,0,0,0,,,,,427
201740,0,0.0,0.0,1,0.0,29146,,80.343362,0,0,0,,,,,427
201739,0,0.0,0.0,1,0.0,29146,,80.2075215,0,0,0,,,,,427
